strategy,rebalance_block,start_date,end_date,holding_calendar_days,priced_holding_calendar_days,symbol,score,weight,portfolio_value_at_rebalance,target_allocation_value,allocation_value,entry_close,end_close,previous_quantity,quantity,quantity_change,period_return
average,5,2025-10-06,2025-11-04,31,30,TITAN,64.06,0.1086895662427785,106751.28798905804,11602.751187388647,10276.2,3425.4,3813.5,3,3,0,0.1133006364220237
average,5,2025-10-06,2025-11-04,31,30,EICHERMOT,60.504999999999995,0.10265785522196866,106751.28798905804,10958.858267139402,6880.0,6880.0,6930.0,1,1,0,0.007267441860465018
average,5,2025-10-06,2025-11-04,31,30,GRASIM,60.355000000000004,0.10240335264725095,106751.28798905804,10931.689789491755,8422.2,2807.4,2882.0,3,3,0,0.026572629479233445
average,5,2025-10-06,2025-11-04,31,30,ASIANPAINT,59.004999999999995,0.10011282947479151,106751.28798905804,10687.173490662926,9419.2,2354.8,2486.7,3,4,1,0.0560132495328689
average,5,2025-10-06,2025-11-04,31,30,SHRIRAMFIN,58.614999999999995,0.09945112278052545,106751.28798905804,10616.535448779043,10071.75,671.45,796.5,18,15,-3,0.186238737061583
average,5,2025-10-06,2025-11-04,31,30,APOLLOHOSP,58.6,0.09942567252305369,106751.28798905804,10613.81860101428,7662.0,7662.0,7810.5,1,1,0,0.019381362568519966
average,5,2025-10-06,2025-11-04,31,30,TATASTEEL,58.29,0.09889970053530375,106751.28798905804,10557.670413875809,10543.72,170.06,179.29,62,62,0,0.05427496177819591
average,5,2025-10-06,2025-11-04,31,30,JSWSTEEL,57.89,0.09822102700272319,106751.28798905804,10485.22114014875,10439.1,1159.9,1181.4,9,9,0,0.018536080696611723
average,5,2025-10-06,2025-11-04,31,30,SBIN,56.09,0.09516699610611061,106751.28798905804,10159.199408376979,9614.55,874.05,957.6,12,11,-1,0.09558949716835419
average,5,2025-10-06,2025-11-04,31,30,HINDALCO,55.975,0.0949718774654937,106751.28798905804,10138.370242180448,10097.1,776.7,831.4,13,13,0,0.07042616196729745
average,6,2025-11-06,2025-12-05,31,30,ASIANPAINT,64.705,0.10915148448043185,110203.94912268658,12028.924642347225,10411.6,2602.9,2968.5,4,4,0,0.1404587191209805
average,6,2025-11-06,2025-12-05,31,30,EICHERMOT,63.425,0.10699224021592443,110203.94912268658,11790.967397277996,6806.5,6806.5,7208.0,1,1,0,0.058987732314699226
average,6,2025-11-06,2025-12-05,31,30,TITAN,62.644999999999996,0.10567645074224022,110203.94912268658,11645.962201063936,11323.2,3774.4,3813.3,3,3,0,0.010306273844849612
average,6,2025-11-06,2025-12-05,31,30,SHRIRAMFIN,61.56,0.10384615384615385,110203.94912268658,11444.256255048222,11095.0,792.5,854.9,15,14,-1,0.07873817034700314
average,6,2025-11-06,2025-12-05,31,30,GRASIM,58.66,0.09895411605937922,110203.94912268658,10905.134371688251,10800.4,2700.1,2747.0,3,4,1,0.017369727047146455
average,6,2025-11-06,2025-12-05,31,30,JSWSTEEL,58.565,0.09879385964912281,110203.94912268658,10887.473482405769,10519.199999999999,1168.8,1162.2,9,9,0,-0.0056468172484598345
average,6,2025-11-06,2025-12-05,31,30,SBIN,57.53,0.09704790823211877,110203.94912268658,10695.062741275573,10568.25,960.75,971.5,11,11,0,0.011189175123601292
average,6,2025-11-06,2025-12-05,31,30,APOLLOHOSP,56.675,0.09560560053981107,110203.94912268658,10536.114737733236,7782.0,7782.0,7189.5,1,1,0,-0.07613723978411724
average,6,2025-11-06,2025-12-05,31,30,TATASTEEL,56.335,0.09503205128205129,110203.94912268658,10472.907344511723,10458.93,177.27,167.11,62,59,-3,-0.0573137022620861
average,6,2025-11-06,2025-12-05,31,30,HINDALCO,52.7,0.08890013495276654,110203.94912268658,9797.145949334654,9460.8,788.4,823.25,13,12,-1,0.04420345002536785
average,7,2025-12-08,2026-01-07,31,31,EICHERMOT,67.155,0.11764757408267126,110932.52969420016,13050.943005376543,7142.0,7142.0,7582.5,1,1,0,0.06167740128815469
average,7,2025-12-08,2026-01-07,31,31,TITAN,60.385000000000005,0.10578733915541813,110932.52969420016,11735.257142128845,11301.0,3767.0,4273.2,3,3,0,0.13437748871781263
average,7,2025-12-08,2026-01-07,31,31,ASIANPAINT,58.805,0.10301936704536495,110932.52969420016,11428.198993837652,8784.900000000001,2928.3,2809.4,4,3,-1,-0.04060376327562065
average,7,2025-12-08,2026-01-07,31,31,GRASIM,57.66,0.10101346320611755,110932.52969420016,11205.679006626631,10976.8,2744.2,2837.1,4,4,0,0.03385321769550331
average,7,2025-12-08,2026-01-07,31,31,SHRIRAMFIN,56.685,0.09930537915086324,110932.52969420016,11016.19692144694,10845.25,834.25,995.85,14,13,-1,0.193706922385376
average,7,2025-12-08,2026-01-07,31,31,TATASTEEL,55.85,0.0978425584471326,110932.52969420016,10853.922520293052,10789.02,163.47,183.8,59,66,7,0.12436532697130986
average,7,2025-12-08,2026-01-07,31,31,APOLLOHOSP,55.44,0.09712428720338462,110932.52969420016,10774.242874217489,7096.0,7096.0,7447.5,1,1,0,0.04953494926719282
average,7,2025-12-08,2026-01-07,31,31,JSWSTEEL,53.75,0.09416360817427712,110932.52969420016,10445.807259906025,10071.9,1119.1,1189.8,9,9,0,0.06317576624072929
