date,daily_return,cumulative_return,portfolio_value,benchmark_daily_return,benchmark_cumulative_return,benchmark_source,benchmark_value
2025-08-28,-0.006919091831554596,-0.10904993749122582,89095.00625087741,-0.008544414566982406,0.015629760589624953,official_nse_nifty50_index,101562.9760589625
2025-08-29,0.0016883806549791577,-0.10754567464113352,89245.43253588665,-0.0030223379549323415,0.012560184216036108,official_nse_nifty50_index,101256.01842160361
2025-09-01,0.014661046187973007,-0.09446136055639087,90553.86394436091,0.008114022069976246,0.020776119897944145,official_nse_nifty50_index,102077.61198979442
2025-09-02,0.0009003440919703827,-0.09364606419231702,90635.3935807683,-0.001845681531611132,0.018892092265538896,official_nse_nifty50_index,101889.2092265539
2025-09-03,-9.891299680075094e-05,-0.09373571437626993,90626.42856237301,0.005510667382707668,0.024506867684885414,official_nse_nifty50_index,102450.68676848854
2025-09-04,-0.0014607697189384572,-0.09505955780206454,90494.04421979355,0.0007788776474253467,0.025304833183758868,official_nse_nifty50_index,102530.48331837589
2025-09-05,0.002652363842664444,-0.0926593264934138,90734.06735065862,0.0002708789009593371,0.02558256663011993,official_nse_nifty50_index,102558.256663012
2025-09-08,0.010521793127807143,-0.0831124756303322,91688.75243696678,0.0012994624307829383,0.026915272645121613,official_nse_nifty50_index,102691.52726451216
2025-09-09,0.0005743812314579172,-0.08258583264497643,91741.41673550235,0.00385296177514749,0.03087193793693843,official_nse_nifty50_index,103087.19379369385
2025-09-10,0.005159203466671308,-0.07785270629238517,92214.72937076149,0.004202086164882601,0.035203750645109055,official_nse_nifty50_index,103520.37506451091
2025-09-11,-0.00482415167309501,-0.08230128470216469,91769.87152978353,0.0012973959980939753,0.0365468198484078,official_nse_nifty50_index,103654.68198484078
2025-09-12,0.007237816313533989,-0.07565914996967282,92434.08500303271,0.004339045410009845,0.041044443569331346,official_nse_nifty50_index,104104.44435693313
2025-09-15,-0.0025580065918796757,-0.07802361995719398,92197.6380042806,-0.0017838655729871533,0.03918736022649849,official_nse_nifty50_index,103918.73602264984
2025-09-16,0.00949170734130928,-0.06927248998222801,93072.7510017772,0.0067772405980246475,0.04623018299317949,official_nse_nifty50_index,104623.01829931795
2025-09-17,0.0023090076586853546,-0.06712343303344781,93287.65669665522,0.0036114599965926253,0.05000860144628705,official_nse_nifty50_index,105000.8601446287
2025-09-18,-0.0011135490657607893,-0.06816223686306355,93183.77631369364,0.003685316962919849,0.05387821595640885,official_nse_nifty50_index,105387.82159564088
2025-09-19,-0.0022184279071405457,-0.0702294517617339,92977.0548238266,-0.003797652574773047,0.0498759526360848,official_nse_nifty50_index,104987.59526360848
2025-09-22,-2.416651924220812e-05,-0.07025192107957878,92974.80789204212,-0.004923589600841827,0.044706794313511766,official_nse_nifty50_index,104470.67943135118
2025-09-23,-0.003542356875848716,-0.07354542057974967,92645.45794202504,-0.0013034498766979485,0.04334507137127841,official_nse_nifty50_index,104334.50713712785
2025-09-24,-0.009244658759003764,-0.08211017702220624,91788.98229777938,-0.004473668527384289,0.038677491362283156,official_nse_nifty50_index,103867.74913622832
2025-09-25,-0.0009132909159927827,-0.08294847745941403,91705.1522540586,-0.0066269171365972435,0.03179426169537658,official_nse_nifty50_index,103179.42616953766
2025-09-26,-0.012323379237373392,-0.09424965115189232,90575.03488481077,-0.009487422084822228,0.022005194029975028,official_nse_nifty50_index,102200.51940299751
2025-09-29,0.0049123158253498505,-0.08980031937942956,91019.96806205704,-0.0008030923109995092,0.021184429516847958,official_nse_nifty50_index,102118.44295168479
2025-09-30,-0.002747384558998318,-0.09230098792757169,90769.90120724283,-0.000966109056663611,0.020197853990967962,official_nse_nifty50_index,102019.7853990968
2025-10-01,0.0016158522463593271,-0.09083428043989628,90916.57195601038,0.009150342731531813,0.02953301400895847,official_nse_nifty50_index,102953.30140089584
2025-10-03,0.00725185272316206,-0.08424114454069875,91575.88554593013,0.002333278306350106,0.03193520105621683,official_nse_nifty50_index,103193.52010562169
2025-10-06,0.0026134657449602156,-0.08184784014131186,91815.21598586881,0.007367163099912588,0.03953763599093918,official_nse_nifty50_index,103953.76359909392
2025-10-07,0.004195884651313876,-0.07799537958619007,92200.46204138099,0.001222203834888802,0.040808162876158516,official_nse_nifty50_index,104080.81628761585
2025-10-08,0.0019658658998676177,-0.07618284214339832,92381.71578566017,-0.0024752770996043783,0.03823187426550989,official_nse_nifty50_index,103823.18742655098
2025-10-09,0.002302666340925799,-0.07405559946883222,92594.44005311678,0.005416002060196767,0.043854940235493745,official_nse_nifty50_index,104385.49402354937
2025-10-10,0.00452576463490913,-0.06986499304701621,93013.50069529838,0.004112096831838885,0.048147372828135415,official_nse_nifty50_index,104814.73728281354
2025-10-13,0.002364125375827392,-0.06766603727413323,93233.39627258667,-0.002293818357270161,0.04574311314321777,official_nse_nifty50_index,104574.31131432178
2025-10-14,-0.0039473148220123076,-0.07134625294426644,92865.37470557335,-0.0032444945664129587,0.042350205294760856,official_nse_nifty50_index,104235.02052947608
2025-10-15,0.007669553468964111,-0.06422389337706857,93577.61066229314,0.007080789803344478,0.04973086799992599,official_nse_nifty50_index,104973.0867999926
2025-10-16,0.012145387294257489,-0.052858530141420834,94714.14698585792,0.010336228530360092,0.06058112614694644,official_nse_nifty50_index,106058.11261469465
2025-10-17,0.007122388412699424,-0.046112620711312946,95388.73792886871,0.00486802968892297,0.06574406655654119,official_nse_nifty50_index,106574.40665565412
2025-10-20,0.009979714155530338,-0.036593097329443935,96340.6902670556,0.0051847832640019575,0.07126971855653297,official_nse_nifty50_index,107126.97185565329
