symbol,pulled_on,pulled_at,date,submissionDate,broadcastDate,recordId,xbrl,desc,pr_and_prgrp,public_val,source
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2025-09-30,2025-09-30,2025-09-30,screener_BAJAJFINSV_shareholding_20250930,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,58.81,22.52,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2025-12-31,2025-12-31,2025-12-31,screener_BAJAJFINSV_shareholding_20251231,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,58.81,22.37,screener
BAJAJFINSV,2026-07-08,2026-07-08T20:26:41,2026-03-31,2026-03-31,2026-03-31,screener_BAJAJFINSV_shareholding_20260331,https://www.screener.in/company/BAJAJFINSV/consolidated/,screener shareholding table,58.72,22.16,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2023-06-30,2023-06-30,2023-06-30,screener_BAJFINANCE_shareholding_20230630,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,55.87,10.99,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2023-09-30,2023-09-30,2023-09-30,screener_BAJFINANCE_shareholding_20230930,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,55.87,10.5,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2023-12-31,2023-12-31,2023-12-31,screener_BAJFINANCE_shareholding_20231231,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.78,10.17,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2024-03-31,2024-03-31,2024-03-31,screener_BAJFINANCE_shareholding_20240331,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.69,10.19,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2024-06-30,2024-06-30,2024-06-30,screener_BAJFINANCE_shareholding_20240630,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.7,9.83,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2024-09-30,2024-09-30,2024-09-30,screener_BAJFINANCE_shareholding_20240930,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.7,9.36,screener
BAJFINANCE,2026-07-08,2026-07-08T20:26:41,2024-12-31,2024-12-31,2024-12-31,screener_BAJFINANCE_shareholding_20241231,https://www.screener.in/company/BAJFINANCE/consolidated/,screener shareholding table,54.7,9.32,screener
