TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-21,2026-07-21,CM,NSE,STK,22832,INF769K01LC3,SMALLCAP,EQ,,,,,MIRAEAMC - SMALLCAP,47.32,47.79,47.32,47.73,47.76,47.33,,47.73,,,1319676,62849167.46,2417,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,760415,INF769K01PZ5,TOP20,EQ,,,,,MIRAEAMC - TOP20,8.84,8.85,8.79,8.84,8.85,8.82,,8.84,,,176016,1552491.38,132,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,761511,INF769K01QV2,VALUE,EQ,,,,,MIRAEAMC - VALUE,16.28,16.32,16.21,16.28,16.28,16.2,,16.28,,,39278,638719.24,78,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,4394,INE771A01026,MIRZAINT,EQ,,,,,MIRZA INTERNATIONAL LIMIT,37.75,38.34,37.0,37.25,37.19,38.12,,37.26,,,230173,8644489.89,1431,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,2463,INE099Z01011,MIDHANI,EQ,,,,,MISHRA DHATU NIGAM LTD,409.6,412.8,401.45,411.1,408.1,409.55,,411.1,,,406731,165545687.65,10710,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,8475,INE828O01033,MITCON,BE,,,,,MITCON CON & ENG SER LTD,72.66,76.0,71.21,76.0,76.0,72.66,,76.0,,,301,22121.24,9,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,18562,INE997Y01027,MITTAL,EQ,,,,,MITTAL LIFE STYLE LIMITED,0.94,0.95,0.92,0.94,0.94,0.93,,0.94,,,252964,237589.08,199,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,13844,INE227C01017,MMFL,EQ,,,,,MM FORGINGS LTD,535.7,559.0,530.0,555.75,555.0,533.7,,555.75,,,200723,109669542.75,7777,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,16395,INE511Y01018,MMP,EQ,,,,,MMP INDUSTRIES LIMITED,281.6,288.45,281.6,284.3,283.25,284.45,,284.3,,,17482,4983421.7,738,F1,1,,,,,
2026-07-21,2026-07-21,CM,NSE,STK,17957,INE123F01029,MMTC,EQ,,,,,MMTC LIMITED,63.64,64.0,63.06,63.33,63.26,63.66,,63.33,,,821159,52096601.74,5913,F1,1,,,,,
