trade_date,index_name,open,high,low,close,points_change,change_pct,volume,turnover_rs_cr,pe,pb,div_yield,source
2025-07-23,NIFTY 50,25139.35,25233.5,25085.5,25219.9,159.0,0.63,271539651,23042.49,22.29,3.48,1.3,nse_index_close_archive
2025-07-24,NIFTY 50,25243.3,25246.25,25018.7,25062.1,-157.8,-0.63,338728860,27433.34,22.15,3.46,1.31,nse_index_close_archive
2025-07-25,NIFTY 50,25010.35,25010.35,24806.35,24837.0,-225.1,-0.9,278136104,25273.64,21.93,3.43,1.37,nse_index_close_archive
2025-07-28,NIFTY 50,24782.45,24889.2,24646.6,24680.9,-156.1,-0.63,262142969,24976.54,21.78,3.41,1.39,nse_index_close_archive
2025-07-29,NIFTY 50,24609.65,24847.15,24598.6,24821.1,140.2,0.57,284657235,25954.42,21.97,3.43,1.38,nse_index_close_archive
2025-07-30,NIFTY 50,24890.4,24902.3,24771.95,24855.05,33.95,0.14,243886726,23525.25,22.05,3.41,1.37,nse_index_close_archive
2025-07-31,NIFTY 50,24642.25,24956.5,24635.0,24768.35,-86.7,-0.35,346303628,30477.71,21.93,3.38,1.38,nse_index_close_archive
2025-08-01,NIFTY 50,24734.9,24784.15,24535.05,24565.35,-203.0,-0.82,263357194,24972.45,21.7,3.35,1.41,nse_index_close_archive
2025-08-04,NIFTY 50,24596.05,24736.25,24554.0,24722.75,157.4,0.64,259329477,20372.68,21.89,3.37,1.38,nse_index_close_archive
2025-08-05,NIFTY 50,24720.25,24733.1,24590.3,24649.55,-73.2,-0.3,251849778,23815.36,21.82,3.36,1.38,nse_index_close_archive
2025-08-06,NIFTY 50,24641.35,24671.4,24539.2,24574.2,-75.35,-0.31,225091071,20559.22,21.75,3.35,1.4,nse_index_close_archive
2025-08-07,NIFTY 50,24464.2,24634.2,24344.15,24596.15,21.95,0.09,616739190,35574.59,21.71,3.35,1.35,nse_index_close_archive
2025-08-08,NIFTY 50,24544.25,24585.5,24337.5,24363.3,-232.85,-0.95,312630157,38135.74,21.48,3.32,1.37,nse_index_close_archive
2025-08-11,NIFTY 50,24371.5,24600.85,24347.45,24585.05,221.75,0.91,241145497,21081.61,21.67,3.33,1.36,nse_index_close_archive
2025-08-12,NIFTY 50,24563.35,24702.6,24465.65,24487.4,-97.65,-0.4,237002462,22258.29,21.56,3.26,1.37,nse_index_close_archive
2025-08-13,NIFTY 50,24586.2,24664.55,24535.25,24619.35,131.95,0.54,236006791,22843.14,21.68,3.27,1.37,nse_index_close_archive
2025-08-14,NIFTY 50,24607.25,24673.65,24596.9,24631.3,11.95,0.05,270162203,22375.44,21.66,3.34,1.4,nse_index_close_archive
2025-08-18,NIFTY 50,24938.2,25022.0,24852.85,24876.95,245.65,1.0,363071305,37637.67,21.86,3.35,1.36,nse_index_close_archive
2025-08-19,NIFTY 50,24891.35,25012.65,24873.95,24980.65,103.7,0.42,252340828,24781.97,21.95,3.36,1.33,nse_index_close_archive
2025-08-20,NIFTY 50,24965.8,25088.7,24929.7,25050.55,69.9,0.28,287054119,25330.45,22.0,3.37,1.33,nse_index_close_archive
2025-08-21,NIFTY 50,25142.0,25153.65,25054.9,25083.75,33.2,0.13,226542052,21865.07,22.03,3.37,1.34,nse_index_close_archive
2025-08-22,NIFTY 50,25064.15,25084.85,24859.15,24870.1,-213.65,-0.85,210165384,19655.78,21.85,3.34,1.35,nse_index_close_archive
2025-08-25,NIFTY 50,24949.15,25021.55,24894.35,24967.75,97.65,0.39,213032133,19871.25,21.93,3.34,1.34,nse_index_close_archive
2025-08-26,NIFTY 50,24899.5,24919.65,24689.6,24712.05,-255.7,-1.02,750473927,47068.2,21.71,3.31,1.35,nse_index_close_archive
2025-08-28,NIFTY 50,24695.8,24702.65,24481.6,24500.9,-211.15,-0.85,326601486,29371.67,21.52,3.28,1.36,nse_index_close_archive
2025-08-29,NIFTY 50,24466.7,24572.45,24404.7,24426.85,-74.05,-0.3,325543583,26796.69,21.46,3.27,1.37,nse_index_close_archive
2025-09-01,NIFTY 50,24432.7,24635.6,24432.7,24625.05,198.2,0.81,229327424,20704.88,21.63,3.29,1.36,nse_index_close_archive
2025-09-02,NIFTY 50,24653.0,24756.1,24522.35,24579.6,-45.45,-0.18,271558516,22051.8,21.59,3.29,1.36,nse_index_close_archive
2025-09-03,NIFTY 50,24616.5,24737.05,24533.2,24715.05,135.45,0.55,340283328,23533.08,21.71,3.31,1.35,nse_index_close_archive
2025-09-04,NIFTY 50,24980.75,24980.75,24708.2,24734.3,19.25,0.08,314094160,30252.19,21.73,3.3,1.37,nse_index_close_archive
2025-09-05,NIFTY 50,24818.85,24832.35,24621.6,24741.0,6.7,0.03,210071924,18530.24,21.73,3.3,1.37,nse_index_close_archive
2025-09-08,NIFTY 50,24802.6,24885.5,24751.55,24773.15,32.15,0.13,213228202,20122.88,21.76,3.31,1.37,nse_index_close_archive
